date,price,open,high,low,vol.,change %
2018-09-03,7264.2,7289.8,7330.7,7182.8,3870000.0,-0.41
2018-09-04,7377.5,7264.2,7409.9,7234.5,3920000.0,1.56
2018-09-05,6706.8,7377.5,7407.5,6691.8,4550000.0,-9.09
2018-09-06,6514.0,6706.8,6732.9,6337.8,4019999.9999999995,-2.87
2018-09-07,6390.9,6514.1,6540.6,6316.2,3300000.0,-1.89
2018-09-08,6184.3,6390.9,6484.3,6132.3,3460000.0,-3.23
2018-09-09,6238.5,6184.3,6432.6,6148.8,2840000.0,0.88
2018-09-10,6321.0,6238.5,6358.5,6237.3,3110000.0,1.32
2018-09-11,6293.9,6320.7,6391.8,6189.6,3300000.0,-0.43
2018-09-12,6338.0,6293.9,6353.5,6204.5,3040000.0,0.7
2018-09-13,6482.9,6338.0,6867.3,6337.8,3530000.0,2.29
2018-09-14,6483.7,6482.9,6579.4,6412.1,3200000.0,0.01
2018-09-15,6519.0,6482.6,6562.9,6470.3,3160000.0,0.54
2018-09-16,6500.2,6519.0,6520.8,6406.2,3340000.0,-0.29
2018-09-17,6251.9,6500.2,6533.5,6215.9,3260000.0,-3.82
2018-09-18,6342.0,6251.9,6388.8,6228.8,2820000.0,1.44
2018-09-19,6390.4,6342.0,6478.7,6144.5,3540000.0,0.76
2018-09-20,6489.2,6390.4,6537.5,6346.4,5180000.0,1.55
2018-09-21,6766.7,6490.9,6780.5,6489.8,7730000.0,4.28
2018-09-22,6729.6,6766.7,6833.3,6635.5,7310000.0,-0.55
2018-09-23,6704.1,6729.6,6789.4,6666.4,7340000.0,-0.38
2018-09-24,6584.1,6713.3,6728.1,6559.1,7570000.0,-1.79
2018-09-25,6445.1,6590.6,6590.6,5977.0,7340000.0,-2.11
2018-09-26,6468.1,6443.0,6551.9,6384.1,8640000.0,0.36
2018-09-27,6689.2,6463.7,6738.3,6428.8,9340000.0,3.42
2018-09-28,6636.0,6685.7,6809.2,6538.6,9570000.0,-0.79
2018-09-29,6603.9,6633.9,6648.4,6464.4,9420000.0,-0.48
2018-09-30,6635.2,6603.9,6673.9,6533.5,9340000.0,0.47
2018-10-01,6608.2,6635.2,6674.7,6072.7,9190000.0,-0.41
2018-10-02,6549.9,6608.2,6645.7,6034.9,9340000.0,-0.88
2018-10-03,6507.8,6549.9,6563.5,6429.6,9210000.0,-0.64
2018-10-04,6584.2,6509.2,6653.0,6487.8,9310000.0,1.17
2018-10-05,6639.1,6584.2,6682.3,6537.6,9340000.0,0.83
2018-10-06,6596.3,6639.1,6661.5,6550.4,9180000.0,-0.65
2018-10-07,6611.0,6596.3,6633.9,6523.8,77060.0,0.22
2018-10-08,6669.6,6611.0,6699.5,6589.9,119680.0,0.89
2018-10-09,6650.8,6669.6,6678.9,6613.3,80790.0,-0.28
2018-10-10,6618.0,6650.6,6653.5,6526.0,101930.0,-0.49
2018-10-11,6239.1,6618.0,6622.5,6206.2,245280.0,-5.72
2018-10-12,6291.3,6239.2,6344.8,6206.8,147400.0,0.84
2018-10-13,6321.7,6291.3,6329.3,6282.8,94450.0,0.48
2018-10-14,6326.8,6321.6,6390.9,6300.0,99380.0,0.08
2018-10-15,6699.8,6326.8,7358.4,6300.2,443330.0,5.9
2018-10-16,6705.3,6712.4,6836.7,6645.4,155850.0,0.08
2018-10-17,6686.6,6718.9,6745.9,6637.8,136710.0,-0.28
2018-10-18,6574.1,6690.1,6736.3,6530.6,134150.0,-1.68
2018-10-19,6512.0,6576.4,6603.2,6506.9,121440.0,-0.94
2018-10-20,6572.2,6511.7,6593.7,6495.9,97770.0,0.92
2018-10-21,6583.0,6575.9,6643.1,6568.0,92940.0,0.16
2018-10-22,6555.8,6583.0,6612.7,6529.5,101570.0,-0.41
2018-10-23,6528.7,6558.6,6573.6,6500.5,108860.0,-0.41
2018-10-24,6530.7,6531.2,6593.8,6522.6,98740.0,0.03
2018-10-25,6507.0,6532.5,6544.8,6491.5,97430.0,-0.36
2018-10-26,6510.0,6507.0,6570.5,6498.5,97170.0,0.05
2018-10-27,6494.2,6510.0,6534.0,6473.7,76720.0,-0.24
2018-10-28,6486.1,6494.6,6502.2,6461.2,93970.0,-0.12
2018-10-29,6335.0,6486.1,6498.4,6310.5,160520.0,-2.33
